Date,New Articles,Total Articles
2001/01/01,0,0
2001/02/01,0,0
2001/03/01,0,0
2001/04/01,0,0
2001/05/01,0,0
2001/06/01,0,0
2001/07/01,0,0
2001/08/01,0,0
2001/09/01,0,0
2001/10/01,0,0
2001/11/01,0,0
2001/12/01,0,0
2002/01/01,0,0
2002/02/01,0,0
2002/03/01,0,0
2002/04/01,0,0
2002/05/01,0,0
2002/06/01,0,0
2002/07/01,0,0
2002/08/01,0,0
2002/09/01,0,0
2002/10/01,0,0
2002/11/01,0,0
2002/12/01,0,0
2003/01/01,0,0
2003/02/01,0,0
2003/03/01,0,0
2003/04/01,0,0
2003/05/01,0,0
2003/06/01,0,0
2003/07/01,0,0
2003/08/01,0,0
2003/09/01,0,0
2003/10/01,0,0
2003/11/01,0,0
2003/12/01,0,0
2004/01/01,0,0
2004/02/01,0,0
2004/03/01,0,0
2004/04/01,0,0
2004/05/01,0,0
2004/06/01,0,0
2004/07/01,0,0
2004/08/01,0,0
2004/09/01,0,0
2004/10/01,106,106
2004/11/01,69,175
2004/12/01,12,187
2005/01/01,54,241
2005/02/01,21,262
2005/03/01,35,297
2005/04/01,39,336
2005/05/01,17,353
2005/06/01,31,384
2005/07/01,12,396
2005/08/01,14,410
2005/09/01,88,498
2005/10/01,45,543
2005/11/01,13,556
2005/12/01,24,580
2006/01/01,17,597
2006/02/01,3,600
2006/03/01,16,616
2006/04/01,23,639
2006/05/01,15,654
2006/06/01,27,681
2006/07/01,3,684
2006/08/01,12,696
2006/09/01,8,704
2006/10/01,4,708
2006/11/01,7,715
2006/12/01,2,717
2007/01/01,7,724
2007/02/01,17,741
2007/03/01,5,746
2007/04/01,13,759
2007/05/01,5,764
2007/06/01,19,783
2007/07/01,59,842
2007/08/01,23,865
2007/09/01,17,882
2007/10/01,6,888
2007/11/01,3,891
2007/12/01,104,995
2008/01/01,27,1022
2008/02/01,29,1051
2008/03/01,115,1166
2008/04/01,6,1172
2008/05/01,3,1175
2008/06/01,0,1175
2008/07/01,5,1180
2008/08/01,24,1204
2008/09/01,30,1234
2008/10/01,33,1267
2008/11/01,34,1301
2008/12/01,122,1423
2009/01/01,114,1537
2009/02/01,65,1602
2009/03/01,64,1666
2009/04/01,23,1689
2009/05/01,16,1705
2009/06/01,22,1727
2009/07/01,24,1751
2009/08/01,25,1776
2009/09/01,18,1794
2009/10/01,27,1821
2009/11/01,27,1848
2009/12/01,15,1863
2010/01/01,21,1884
2010/02/01,22,1906
2010/03/01,75,1981
2010/04/01,117,2098
2010/05/01,40,2138
2010/06/01,47,2185
2010/07/01,42,2227
2010/08/01,18,2245
2010/09/01,11,2256
2010/10/01,268,2524
2010/11/01,25,2549
2010/12/01,8,2557
2011/01/01,16,2573
2011/02/01,27,2600
2011/03/01,13,2613
2011/04/01,16,2629
2011/05/01,16,2645
2011/06/01,20,2665
2011/07/01,24,2689
2011/08/01,26,2715
2011/09/01,29,2744
2011/10/01,24,2768
2011/11/01,18,2786
2011/12/01,7,2793
2012/01/01,18,2811
2012/02/01,21,2832
2012/03/01,27,2859
