Date,New Articles,Total Articles
2001/01/01,0,0
2001/02/01,0,0
2001/03/01,0,0
2001/04/01,0,0
2001/05/01,0,0
2001/06/01,0,0
2001/07/01,0,0
2001/08/01,0,0
2001/09/01,0,0
2001/10/01,0,0
2001/11/01,0,0
2001/12/01,0,0
2002/01/01,0,0
2002/02/01,0,0
2002/03/01,0,0
2002/04/01,0,0
2002/05/01,0,0
2002/06/01,0,0
2002/07/01,0,0
2002/08/01,0,0
2002/09/01,0,0
2002/10/01,0,0
2002/11/01,0,0
2002/12/01,0,0
2003/01/01,0,0
2003/02/01,0,0
2003/03/01,0,0
2003/04/01,0,0
2003/05/01,0,0
2003/06/01,0,0
2003/07/01,0,0
2003/08/01,0,0
2003/09/01,0,0
2003/10/01,0,0
2003/11/01,0,0
2003/12/01,0,0
2004/01/01,0,0
2004/02/01,0,0
2004/03/01,0,0
2004/04/01,0,0
2004/05/01,0,0
2004/06/01,0,0
2004/07/01,0,0
2004/08/01,0,0
2004/09/01,0,0
2004/10/01,0,0
2004/11/01,0,0
2004/12/01,0,0
2005/01/01,0,0
2005/02/01,0,0
2005/03/01,0,0
2005/04/01,0,0
2005/05/01,0,0
2005/06/01,0,0
2005/07/01,0,0
2005/08/01,0,0
2005/09/01,0,0
2005/10/01,0,0
2005/11/01,0,0
2005/12/01,0,0
2006/01/01,0,0
2006/02/01,0,0
2006/03/01,0,0
2006/04/01,0,0
2006/05/01,0,0
2006/06/01,0,0
2006/07/01,0,0
2006/08/01,0,0
2006/09/01,0,0
2006/10/01,0,0
2006/11/01,0,0
2006/12/01,0,0
2007/01/01,0,0
2007/02/01,0,0
2007/03/01,0,0
2007/04/01,0,0
2007/05/01,135,135
2007/06/01,18,153
2007/07/01,6,159
2007/08/01,0,159
2007/09/01,0,159
2007/10/01,0,159
2007/11/01,0,159
2007/12/01,0,159
2008/01/01,10,169
2008/02/01,17,186
2008/03/01,0,186
2008/04/01,0,186
2008/05/01,34,220
2008/06/01,26,246
2008/07/01,88,334
2008/08/01,30,364
2008/09/01,1,365
2008/10/01,53,418
2008/11/01,6,424
2008/12/01,74,498
2009/01/01,0,498
2009/02/01,1,499
2009/03/01,121,620
2009/04/01,1,621
2009/05/01,20,641
2009/06/01,8,649
2009/07/01,14,663
2009/08/01,509,1172
2009/09/01,196,1368
2009/10/01,41,1409
2009/11/01,37,1446
2009/12/01,37,1483
2010/01/01,5,1488
2010/02/01,9,1497
2010/03/01,27,1524
2010/04/01,37,1561
2010/05/01,202,1763
2010/06/01,15,1778
2010/07/01,213,1991
2010/08/01,46,2037
2010/09/01,0,2037
2010/10/01,2,2039
2010/11/01,1,2040
2010/12/01,1,2041
2011/01/01,1,2042
2011/02/01,76,2118
2011/03/01,0,2118
2011/04/01,2,2120
2011/05/01,4,2124
2011/06/01,2,2126
2011/07/01,4,2130
2011/08/01,3,2133
2011/09/01,134,2267
2011/10/01,4,2271
2011/11/01,0,2271
2011/12/01,1,2272
2012/01/01,0,2272
2012/02/01,0,2272
2012/03/01,2,2274
