timestamp,project:Other,project:Wikibooks,project:Wikinews,project:Wikipedia,project:Wikiquote,project:Wikisource,project:Wikiversity,project:Wiktionary
2008/01/01,1129362,0,0,8868843345,0,0,0,0
2008/02/01,604780,0,0,9156333376,0,0,0,0
2008/03/01,1050507,0,0,8900504152,0,0,0,0
2008/04/01,649450,0,0,9663618400,0,0,0,0
2008/05/01,61343198,19198773,6848151,10164434653,17537250,16926308,2855927,68507295
2008/06/01,144789435,42091265,15802957,10427686786,39583515,39098538,6813686,152426136
2008/07/01,158063929,34926290,12637997,9136168983,33416903,32299205,6068073,146280022
2008/08/01,177298867,33806180,11872431,9087895401,31906780,30370319,5993306,132428811
2008/09/01,183872206,35632091,11976202,10185588655,33470223,34081907,6763116,151406319
2008/10/01,175186784,36539465,12651880,10311576636,35505471,37233618,7094428,142185982
2008/11/01,167109390,33852796,12657205,10462708952,31933507,31586496,6905157,110643063
2008/12/01,185006950,29715090,12637593,10062538523,30659889,33484472,7082193,123839287
2009/01/01,217863509,32219553,12607096,11054621401,31165209,32769941,6997282,122825140
2009/02/01,230892548,32964865,12971875,11230160749,33267088,31850989,7686163,114792578
2009/03/01,246511569,34682795,13682712,11542436432,35737343,36474251,7536918,125641734
2009/04/01,220663227,29657692,12102127,10922457895,33629876,33101011,6521876,108937339
2009/05/01,231775588,31543489,12371892,11366412695,36983313,34736762,7163997,119754992
2009/06/01,226589464,33127546,14021881,11052879873,36298425,33918376,7472896,122375294
2009/07/01,210974560,30007722,12962902,10328330824,38883493,30986071,6917146,123131078
2009/08/01,204177263,33097900,15177837,10482812605,39040479,36970623,9228655,134595435
2009/09/01,215413362,38155115,17296530,11385107278,40218086,42130986,10312313,146518398
2009/10/01,287917335,42701489,21205334,11644240164,39690586,56153438,13203671,171356473
2009/11/01,279544055,40590285,18730737,11410668035,44784647,55604104,12440065,171909684
2009/12/01,265005204,36960247,18997153,10065987261,40023336,58527988,11787611,173146538
2010/01/01,263699490,36048482,17041569,11417234339,39101615,50717998,9808358,174841865
2010/02/01,250522532,36704853,16325595,11967474718,47934663,45586499,10268358,158195177
2010/03/01,215088774,33291514,13143963,11734603829,40886090,39769889,7810287,129726325
2010/04/01,215249283,37579677,13808908,14553881257,43136370,37320126,7406908,135352294
2010/05/01,213562645,36758786,13061093,14741987719,40735562,36541462,7192770,146915267
2010/06/01,187243450,31392174,11408399,14170347061,33968324,31607196,6349049,133239296
2010/07/01,183195009,27653741,11415099,13499947558,29570350,26137514,6205593,122902749
2010/08/01,182988035,27438003,10033317,13371386532,34526955,25129859,5810681,113563151
2010/09/01,194420964,31552942,10370801,14100865308,34882585,30546562,6825679,129213114
2010/10/01,203762100,32199830,10572019,14089396496,34746957,33949606,7112917,132178757
2010/11/01,203406892,35165858,10929603,14474025282,39807952,37543260,7285965,141676147
2010/12/01,200101321,30135879,11904574,13495384238,36195565,36181192,7031560,142214515
2011/01/01,211750389,31659086,12281246,15002687171,39789757,37479971,7368629,164516203
2011/02/01,242860975,34203200,13313558,15057703563,42052384,40993023,7935570,177164382
2011/03/01,196914564,32915766,12700317,14727782945,44370387,36937760,7610088,158569816
2011/04/01,180625271,30709836,12501283,14218152762,50405372,32529026,6909730,154054181
2011/05/01,186876568,32865974,11296006,14654135774,52172749,34387081,6886601,169374280
2011/06/01,227727225,32648377,11919964,14186335371,56201394,35022754,7329143,178522993
2011/07/01,241286390,29798014,13301413,13593932405,55670214,36794860,7258574,178940939
2011/08/01,255340849,31816143,13695087,14508813393,53243574,32610531,7321831,177196558
2011/09/01,261480533,35426523,11827259,15186187788,58314348,36092104,7599113,256834116
2011/10/01,278043821,43036132,15989848,16091695912,71313454,44615014,8886027,569006376
2011/11/01,260936835,40801466,13195136,16588004814,77357702,49575283,8381542,402218524
2011/12/01,271528549,38002439,13274655,15705257646,82113521,44328453,7407895,223659264
2012/01/01,295382698,40508138,13436527,17090632379,85987949,46087846,8180508,494990727
2012/02/01,253858385,38069567,12176048,15540925014,85506862,41205746,7035811,197599961
