Month,All Projects,Wikipedia,Commons,Other Wikis,Wiktionary,Wikibooks,Wikisource,Wikiquote,Wikiversity,Wikinews,Wikivoyage
2012/08/01,78443,79281,6685,663,891,327,585,325,117,125,73
2012/09/01,81267,75451,13382,676,877,324,540,316,230,138,77
2012/10/01,78796,78008,7601,1001,872,584,607,352,249,121,109
2012/11/01,78459,78249,6629,1194,928,648,544,325,253,116,216
2012/12/01,77299,77479,6547,980,969,670,575,312,237,119,231
2013/01/01,83382,83141,7109,1055,996,419,656,363,179,125,1676
2013/02/01,76805,77028,6727,1896,951,335,566,307,205,156,572
2013/03/01,80828,80684,7083,3477,974,381,587,302,208,138,454
2013/04/01,81072,79552,7390,4173,922,439,629,297,294,162,371
2013/05/01,81630,79992,7716,4443,926,493,609,310,230,133,333
2013/06/01,76024,75069,7055,4476,894,347,575,293,189,131,354
2013/07/01,75705,74783,7137,4460,930,278,581,301,100,144,429
2013/08/01,75080,74027,7212,4370,865,284,588,301,119,129,387
2013/09/01,75547,69516,12084,4194,836,309,568,295,172,114,335
2013/10/01,74733,72653,7491,4190,900,574,621,309,273,117,372
2013/11/01,73542,71725,6919,4339,933,525,750,314,340,101,342
2013/12/01,73836,72523,6855,4847,903,461,654,299,186,107,323
2014/01/01,79559,78513,7323,5503,966,357,892,345,133,105,350
2014/02/01,74120,72398,6944,5595,918,285,791,294,130,114,313
2014/03/01,76939,75723,7247,5401,940,347,634,347,154,127,335
2014/04/01,75211,73402,7440,5387,897,398,550,364,196,102,326
2014/05/01,80063,76825,9206,5679,943,370,573,344,169,106,349
2014/06/01,74456,72657,7233,5542,889,287,553,271,118,105,281
2014/07/01,76436,74849,7036,5524,874,263,646,307,113,99,320
2014/08/01,76976,75772,7470,5729,911,278,642,298,165,98,305
2014/09/01,75635,70230,10824,5389,858,377,592,284,178,98,297
2014/10/01,76536,73616,8733,5503,918,383,607,298,321,106,312
