Date,New Articles,Total Articles
2001/01/01,0,0
2001/02/01,0,0
2001/03/01,0,0
2001/04/01,0,0
2001/05/01,0,0
2001/06/01,0,0
2001/07/01,0,0
2001/08/01,0,0
2001/09/01,0,0
2001/10/01,0,0
2001/11/01,0,0
2001/12/01,0,0
2002/01/01,0,0
2002/02/01,0,0
2002/03/01,0,0
2002/04/01,0,0
2002/05/01,0,0
2002/06/01,0,0
2002/07/01,0,0
2002/08/01,0,0
2002/09/01,0,0
2002/10/01,0,0
2002/11/01,0,0
2002/12/01,0,0
2003/01/01,0,0
2003/02/01,0,0
2003/03/01,0,0
2003/04/01,0,0
2003/05/01,1,1
2003/06/01,0,1
2003/07/01,0,1
2003/08/01,0,1
2003/09/01,0,1
2003/10/01,0,1
2003/11/01,33,34
2003/12/01,13,47
2004/01/01,15,62
2004/02/01,286,348
2004/03/01,631,979
2004/04/01,591,1570
2004/05/01,288,1858
2004/06/01,79,1937
2004/07/01,185,2122
2004/08/01,76,2198
2004/09/01,45,2243
2004/10/01,287,2530
2004/11/01,802,3332
2004/12/01,1289,4621
2005/01/01,503,5124
2005/02/01,379,5503
2005/03/01,556,6059
2005/04/01,909,6968
2005/05/01,981,7949
2005/06/01,679,8628
2005/07/01,817,9445
2005/08/01,813,10258
2005/09/01,1154,11412
2005/10/01,637,12049
2005/11/01,581,12630
2005/12/01,687,13317
2006/01/01,1326,14643
2006/02/01,1321,15964
2006/03/01,2327,18291
2006/04/01,3304,21595
2006/05/01,2183,23778
2006/06/01,1411,25189
2006/07/01,1526,26715
2006/08/01,2217,28932
2006/09/01,4462,33394
2006/10/01,4547,37941
2006/11/01,4561,42502
2006/12/01,1612,44114
2007/01/01,3113,47227
2007/02/01,1711,48938
2007/03/01,1348,50286
2007/04/01,6669,56955
2007/05/01,2137,59092
2007/06/01,1130,60222
2007/07/01,1481,61703
2007/08/01,1601,63304
2007/09/01,1439,64743
2007/10/01,1346,66089
2007/11/01,1209,67298
2007/12/01,1893,69191
2008/01/01,3413,72604
2008/02/01,2751,75355
2008/03/01,1570,76925
2008/04/01,2019,78944
2008/05/01,1608,80552
2008/06/01,2326,82878
2008/07/01,1510,84388
2008/08/01,2246,86634
2008/09/01,1644,88278
2008/10/01,1094,89372
2008/11/01,1753,91125
2008/12/01,2921,94046
2009/01/01,1246,95292
2009/02/01,3172,98464
2009/03/01,939,99403
2009/04/01,1461,100864
2009/05/01,1613,102477
2009/06/01,1720,104197
2009/07/01,1632,105829
2009/08/01,1246,107075
2009/09/01,3334,110409
2009/10/01,1718,112127
2009/11/01,1613,113740
2009/12/01,1166,114906
2010/01/01,931,115837
2010/02/01,862,116699
2010/03/01,2641,119340
2010/04/01,2664,122004
2010/05/01,3108,125112
2010/06/01,2390,127502
2010/07/01,1626,129128
2010/08/01,1982,131110
2010/09/01,1903,133013
2010/10/01,1280,134293
2010/11/01,1751,136044
2010/12/01,9322,145366
2011/01/01,6556,151922
2011/02/01,3733,155655
2011/03/01,3282,158937
2011/04/01,3377,162314
2011/05/01,3168,165482
2011/06/01,2211,167693
2011/07/01,2459,170152
2011/08/01,2103,172255
2011/09/01,1410,173665
2011/10/01,2037,175702
2011/11/01,2811,178513
2011/12/01,2965,181478
2012/01/01,2461,183939
2012/02/01,1745,185684
2012/03/01,2079,187763
