Date,New Articles,Total Articles
2001/01/01,0,0
2001/02/01,0,0
2001/03/01,0,0
2001/04/01,0,0
2001/05/01,0,0
2001/06/01,0,0
2001/07/01,0,0
2001/08/01,0,0
2001/09/01,0,0
2001/10/01,0,0
2001/11/01,0,0
2001/12/01,0,0
2002/01/01,0,0
2002/02/01,0,0
2002/03/01,0,0
2002/04/01,0,0
2002/05/01,0,0
2002/06/01,0,0
2002/07/01,0,0
2002/08/01,0,0
2002/09/01,0,0
2002/10/01,0,0
2002/11/01,0,0
2002/12/01,0,0
2003/01/01,0,0
2003/02/01,0,0
2003/03/01,0,0
2003/04/01,0,0
2003/05/01,0,0
2003/06/01,1,1
2003/07/01,0,1
2003/08/01,0,1
2003/09/01,0,1
2003/10/01,0,1
2003/11/01,0,1
2003/12/01,0,1
2004/01/01,0,1
2004/02/01,0,1
2004/03/01,0,1
2004/04/01,0,1
2004/05/01,0,1
2004/06/01,0,1
2004/07/01,2,3
2004/08/01,0,3
2004/09/01,6,9
2004/10/01,23,32
2004/11/01,93,125
2004/12/01,57,182
2005/01/01,9,191
2005/02/01,16,207
2005/03/01,19,226
2005/04/01,20,246
2005/05/01,91,337
2005/06/01,267,604
2005/07/01,83,687
2005/08/01,16,703
2005/09/01,46,749
2005/10/01,65,814
2005/11/01,42,856
2005/12/01,17,873
2006/01/01,30,903
2006/02/01,13,916
2006/03/01,102,1018
2006/04/01,221,1239
2006/05/01,79,1318
2006/06/01,745,2063
2006/07/01,512,2575
2006/08/01,710,3285
2006/09/01,414,3699
2006/10/01,137,3836
2006/11/01,72,3908
2006/12/01,100,4008
2007/01/01,59,4067
2007/02/01,35,4102
2007/03/01,88,4190
2007/04/01,80,4270
2007/05/01,84,4354
2007/06/01,67,4421
2007/07/01,56,4477
2007/08/01,46,4523
2007/09/01,171,4694
2007/10/01,78,4772
2007/11/01,78,4850
2007/12/01,123,4973
2008/01/01,117,5090
2008/02/01,114,5204
2008/03/01,117,5321
2008/04/01,96,5417
2008/05/01,95,5512
2008/06/01,98,5610
2008/07/01,162,5772
2008/08/01,75,5847
2008/09/01,126,5973
2008/10/01,83,6056
2008/11/01,84,6140
2008/12/01,86,6226
2009/01/01,56,6282
2009/02/01,62,6344
2009/03/01,59,6403
2009/04/01,84,6487
2009/05/01,49,6536
2009/06/01,121,6657
2009/07/01,165,6822
2009/08/01,160,6982
2009/09/01,227,7209
2009/10/01,233,7442
2009/11/01,193,7635
2009/12/01,152,7787
2010/01/01,132,7919
2010/02/01,157,8076
2010/03/01,151,8227
2010/04/01,149,8376
2010/05/01,209,8585
2010/06/01,244,8829
2010/07/01,232,9061
2010/08/01,216,9277
2010/09/01,210,9487
2010/10/01,288,9775
2010/11/01,250,10025
2010/12/01,179,10204
2011/01/01,257,10461
2011/02/01,200,10661
2011/03/01,171,10832
2011/04/01,223,11055
2011/05/01,247,11302
2011/06/01,60,11362
2011/07/01,68,11430
2011/08/01,68,11498
2011/09/01,60,11558
2011/10/01,36,11594
2011/11/01,75,11669
2011/12/01,140,11809
2012/01/01,99,11908
2012/02/01,163,12071
2012/03/01,148,12219
