Date,New Articles,Total Articles
2001/01/01,0,0
2001/02/01,0,0
2001/03/01,0,0
2001/04/01,0,0
2001/05/01,0,0
2001/06/01,0,0
2001/07/01,0,0
2001/08/01,0,0
2001/09/01,0,0
2001/10/01,0,0
2001/11/01,0,0
2001/12/01,0,0
2002/01/01,0,0
2002/02/01,0,0
2002/03/01,0,0
2002/04/01,0,0
2002/05/01,0,0
2002/06/01,0,0
2002/07/01,0,0
2002/08/01,0,0
2002/09/01,0,0
2002/10/01,0,0
2002/11/01,0,0
2002/12/01,0,0
2003/01/01,0,0
2003/02/01,0,0
2003/03/01,0,0
2003/04/01,0,0
2003/05/01,0,0
2003/06/01,0,0
2003/07/01,0,0
2003/08/01,0,0
2003/09/01,0,0
2003/10/01,0,0
2003/11/01,0,0
2003/12/01,0,0
2004/01/01,0,0
2004/02/01,0,0
2004/03/01,0,0
2004/04/01,0,0
2004/05/01,0,0
2004/06/01,0,0
2004/07/01,1,1
2004/08/01,0,1
2004/09/01,0,1
2004/10/01,0,1
2004/11/01,3,4
2004/12/01,7,11
2005/01/01,4,15
2005/02/01,0,15
2005/03/01,200,215
2005/04/01,128,343
2005/05/01,280,623
2005/06/01,50,673
2005/07/01,0,673
2005/08/01,4,677
2005/09/01,0,677
2005/10/01,55,732
2005/11/01,3,735
2005/12/01,0,735
2006/01/01,0,735
2006/02/01,2,737
2006/03/01,5,742
2006/04/01,0,742
2006/05/01,158,900
2006/06/01,112,1012
2006/07/01,7,1019
2006/08/01,2,1021
2006/09/01,6,1027
2006/10/01,3,1030
2006/11/01,2,1032
2006/12/01,118,1150
2007/01/01,30,1180
2007/02/01,1,1181
2007/03/01,504,1685
2007/04/01,78,1763
2007/05/01,345,2108
2007/06/01,122,2230
2007/07/01,122,2352
2007/08/01,61,2413
2007/09/01,87,2500
2007/10/01,113,2613
2007/11/01,27,2640
2007/12/01,4,2644
2008/01/01,10,2654
2008/02/01,15,2669
2008/03/01,7,2676
2008/04/01,3,2679
2008/05/01,3,2682
2008/06/01,3,2685
2008/07/01,4,2689
2008/08/01,19,2708
2008/09/01,7,2715
2008/10/01,12,2727
2008/11/01,22,2749
2008/12/01,3,2752
2009/01/01,0,2752
2009/02/01,1,2753
2009/03/01,1,2754
2009/04/01,1,2755
2009/05/01,4,2759
2009/06/01,3,2762
2009/07/01,9,2771
2009/08/01,9,2780
2009/09/01,22,2802
2009/10/01,12,2814
2009/11/01,3,2817
2009/12/01,13,2830
2010/01/01,3,2833
2010/02/01,7,2840
2010/03/01,13,2853
2010/04/01,16,2869
2010/05/01,15,2884
2010/06/01,34,2918
2010/07/01,34,2952
2010/08/01,29,2981
2010/09/01,7,2988
2010/10/01,14,3002
2010/11/01,13,3015
2010/12/01,26,3041
2011/01/01,99,3140
2011/02/01,4,3144
2011/03/01,12,3156
2011/04/01,32,3188
2011/05/01,84,3272
2011/06/01,361,3633
2011/07/01,28,3661
2011/08/01,31,3692
2011/09/01,53,3745
2011/10/01,24,3769
2011/11/01,44,3813
2011/12/01,126,3939
2012/01/01,179,4118
2012/02/01,17,4135
2012/03/01,46,4181
