Date,New Articles,Total Articles
2001/01/01,0,0
2001/02/01,0,0
2001/03/01,0,0
2001/04/01,0,0
2001/05/01,0,0
2001/06/01,0,0
2001/07/01,0,0
2001/08/01,0,0
2001/09/01,0,0
2001/10/01,0,0
2001/11/01,0,0
2001/12/01,0,0
2002/01/01,0,0
2002/02/01,0,0
2002/03/01,0,0
2002/04/01,0,0
2002/05/01,0,0
2002/06/01,0,0
2002/07/01,0,0
2002/08/01,0,0
2002/09/01,0,0
2002/10/01,0,0
2002/11/01,0,0
2002/12/01,0,0
2003/01/01,0,0
2003/02/01,0,0
2003/03/01,0,0
2003/04/01,0,0
2003/05/01,0,0
2003/06/01,0,0
2003/07/01,0,0
2003/08/01,0,0
2003/09/01,0,0
2003/10/01,0,0
2003/11/01,0,0
2003/12/01,1,1
2004/01/01,0,1
2004/02/01,0,1
2004/03/01,0,1
2004/04/01,0,1
2004/05/01,0,1
2004/06/01,0,1
2004/07/01,0,1
2004/08/01,1,2
2004/09/01,0,2
2004/10/01,0,2
2004/11/01,0,2
2004/12/01,0,2
2005/01/01,0,2
2005/02/01,0,2
2005/03/01,0,2
2005/04/01,0,2
2005/05/01,0,2
2005/06/01,0,2
2005/07/01,0,2
2005/08/01,0,2
2005/09/01,0,2
2005/10/01,0,2
2005/11/01,0,2
2005/12/01,0,2
2006/01/01,0,2
2006/02/01,0,2
2006/03/01,0,2
2006/04/01,0,2
2006/05/01,2,4
2006/06/01,0,4
2006/07/01,0,4
2006/08/01,0,4
2006/09/01,0,4
2006/10/01,0,4
2006/11/01,2,6
2006/12/01,0,6
2007/01/01,0,6
2007/02/01,0,6
2007/03/01,20,26
2007/04/01,2,28
2007/05/01,0,28
2007/06/01,0,28
2007/07/01,7,35
2007/08/01,14,49
2007/09/01,94,143
2007/10/01,1,144
2007/11/01,6,150
2007/12/01,6,156
2008/01/01,6,162
2008/02/01,1,163
2008/03/01,0,163
2008/04/01,3,166
2008/05/01,10,176
2008/06/01,0,176
2008/07/01,1,177
2008/08/01,0,177
2008/09/01,5,182
2008/10/01,2,184
2008/11/01,2,186
2008/12/01,0,186
2009/01/01,178,364
2009/02/01,252,616
2009/03/01,164,780
2009/04/01,887,1667
2009/05/01,352,2019
2009/06/01,396,2415
2009/07/01,59,2474
2009/08/01,20,2494
2009/09/01,6,2500
2009/10/01,2,2502
2009/11/01,6,2508
2009/12/01,7,2515
2010/01/01,8,2523
2010/02/01,279,2802
2010/03/01,90,2892
2010/04/01,6,2898
2010/05/01,164,3062
2010/06/01,35,3097
2010/07/01,10,3107
2010/08/01,42,3149
2010/09/01,164,3313
2010/10/01,12,3325
2010/11/01,1,3326
2010/12/01,7,3333
2011/01/01,7,3340
2011/02/01,7,3347
2011/03/01,3,3350
2011/04/01,4,3354
2011/05/01,2,3356
2011/06/01,1,3357
2011/07/01,1,3358
2011/08/01,3,3361
2011/09/01,5,3366
2011/10/01,0,3366
2011/11/01,1,3367
2011/12/01,5,3372
2012/01/01,9,3381
2012/02/01,1,3382
2012/03/01,2,3384
