=== Page view data are normalized to 30 day months ===

=== Page view totals non-mobile + mobile ===

,,,,,,,,project,07/2008,08/2008,09/2008,10/2008,11/2008,12/2008,01/2009,02/2009,03/2009,04/2009,05/2009,06/2009,07/2009,08/2009,09/2009,10/2009,11/2009,12/2009,01/2010,02/2010,03/2010,04/2010,05/2010,06/2010,07/2010,08/2010,09/2010,10/2010,11/2010,12/2010,01/2011,02/2011,03/2011,04/2011,05/2011,06/2011,07/2011,08/2011,09/2011,10/2011,11/2011,12/2011,01/2012,02/2012,03/2012,04/2012,05/2012,06/2012,07/2012,08/2012,09/2012,10/2012,11/2012,12/2012,01/2013,02/2013,03/2013,04/2013,05/2013,06/2013,07/2013,08/2013,09/2013,10/2013,11/2013,12/2013,01/2014,02/2014,03/2014,04/2014,05/2014,06/2014,07/2014,08/2014,09/2014,10/2014,11/2014,12/2014,01/2015,02/2015,03/2015,04/2015,05/2015,06/2015
,,,,,,,,English,5135131814,4974344046,5479533823,5669431390,5415832055,5043588824,5615498275,5943558064,6092089410,5988817321,6066080834,5818924182,5614497075,5604048759,5937922018,6041279704,5841504417,5258610830,5883232992,6227014896,6446465754,8213623221,8126959544,7841269693,7728611935,7435888138,7572220871,7526863400,7552720233,7197323670,7886321417,7905363844,7532208472,7345492982,7313738255,7129490662,6968286733,7263497053,7483008091,7881085908,8314617939,7950128284,8576588259,8782733975,8168174170,8387710959,8620167603,8675989210,8778080687,8870258331,9165370101,9385109925,9588800410,9702433634,10645425113,10296403153,10065176559,9588442089,9437534589,9611138147,9090894058,8338005691,8208039697,8508396209,8609937517,8527086518,9468133767,9543132908,9556885158,9536114628,9583917366,9145657338,9556706693,9536089354,10574767204,9403901593,9259587930,9280073460,9219530703,9327494967,9419706584,9484933274,9410008942,8265524799,English
,,,,,,,,German,755196668,778407514,817672904,854000325,1007854264,1434267602,1270923077,981701403,978324435,816911070,875354334,908943732,818710227,812759742,888953956,884514330,903770333,759783399,916028392,890617318,809344045,957331874,986952926,955135652,901839447,936931491,989808185,973748712,1062730731,965473265,1155753949,1010369643,1000548752,902105087,1035675916,1009279530,959536382,966935930,988041057,1028580510,1079434677,1038191276,1192489116,1144831051,1067371844,1048780015,1072648074,1107375315,1073868677,1023852535,1075123176,1144640465,1271195383,1248579897,1353557034,1264822277,1156314304,1107471674,1105692209,1134021804,1038953658,964215522,996124312,996158553,1030427041,1036295945,1256264138,1272461207,1201196119,1155347415,1137975328,1138890002,1161575856,1153976449,1202139657,1159479670,1159157583,1156371899,1267485011,1224640216,1209061818,1186307928,1152966713,1113605746,German
,,,,,,,,Spanish,445589582,529752195,640332042,678356918,618951709,429593165,525897906,664767977,708812666,622529405,712546000,689177935,568949734,670114201,805384131,793041104,750257494,500123563,608651538,776934909,740804448,953794373,999782289,939990212,762596690,872071201,1018472015,1020227911,1029077915,748120629,870565050,1017498578,1071499890,961460241,1074132146,979439804,858854640,1054094317,1195023458,1234884164,1214871541,899244274,1035012747,1211719057,1187560765,1105258369,1254907230,1227918217,1108629589,1291653170,1403795210,1504125450,1454905152,1259381765,1415248693,1572428316,1567357119,1573895843,1628523714,1539734069,1345557977,1297504922,1282490535,1494906432,1439767085,1023790995,1200615713,1385864818,1405761441,1339206980,1397218567,1374415027,1242876714,1359725364,1508461673,1480166884,1375120278,1052433174,1173823785,1357362923,1392531328,1429412656,1406530087,1230289745,Spanish
,,,,,,,,Japanese,973755192,969975425,998032211,1003057504,925842966,867622536,1020040333,1015724496,965824332,935725490,1054087578,1076231552,1071919060,1056863842,1036022366,1042122587,1018879252,947765303,1083201946,1060245098,979748084,1152028494,1276258833,1260772500,1275749319,1222127187,1200138702,1185314758,1192956965,1104993076,1230270379,1235772520,1195941376,1185126548,1255860535,1227660371,1247518154,1321459774,1314236262,1322496602,1321316510,1253215909,1438625504,1431170650,1333339996,1292741905,1410908220,1501801845,1521317171,1583046066,1604478704,1579708048,1576198668,1534332657,1727133637,1634879079,1526884852,1535324778,1584673764,1580613030,1539415997,1467717615,1411646327,1396245474,1394478707,1394630900,1679982453,1575883128,1527903763,1551027500,1624736666,1615517771,1645216677,1730840374,1634716475,1494733018,1363848143,1329578305,1481825707,1444109425,1368373422,1369901817,1403589701,1325824387,Japanese
,,,,,,,,Russian,113662290,121195082,157256924,178147619,193302177,225726994,244179932,261464142,284750415,275645537,285393526,287430317,249613491,263291318,305019697,336490934,350558815,342298682,377526978,414429038,358678986,438267171,467543830,456898699,386032551,408043313,494069475,525512847,569946243,587252199,643666675,663129902,649943184,646546023,647533682,626252967,568028951,586031773,667136987,740428763,789448080,810251079,872056989,903756130,858648904,864363791,899248097,830865119,762226287,773053670,837174443,911910253,958921811,1056467782,1139441598,1089188649,1270351330,1294422461,1350893557,1389146086,1296537708,1156601493,888432467,934245170,942958755,1018878957,1175144449,1174023713,1136745682,1113294660,1108689413,1079952602,971488782,1169477347,1360604828,1390242299,1422242711,1348070303,1411787426,1275163920,1082740341,1085844334,1035205067,937147503,Russian
,,,,,,,,French,311381016,312562951,407994179,439236954,456433510,398506291,489329700,489587152,510839619,513244212,517848086,478907393,402046348,405401461,468445343,517691251,517541264,456708198,532464602,527713863,493544465,550218307,573315069,536451155,482220859,510089112,586890265,598622500,657362614,619085980,697123896,657610990,656422906,624116684,653114631,626267778,593023383,654016689,682681634,745267659,760596481,723308805,790998265,780606431,769176782,773087509,806491651,768239729,728345715,740917699,808082611,866387675,900979178,885764813,976279538,919937708,901516323,803573787,869066418,835863536,714126086,679250674,719829820,781793843,822495258,786270336,930680982,923874140,900700709,908721462,899550307,848659117,832195101,876068297,995529243,902597175,915312099,850604085,933296363,894981623,897192774,914636928,917989227,775950836,French
,,,,,,,,Italian,253142528,226788304,292094070,293057273,295167835,268936529,323865050,331462012,333628746,321232353,325172932,338916224,302151993,281213653,348829233,340393236,335486809,292954921,351946559,362298914,312331661,384760757,406586246,408035119,362128116,356296434,423485286,402327375,431446650,413147136,483901692,482438649,455497552,428441438,448293094,460398540,435822986,437389278,486928748,490790504,488252826,467374419,536237275,532471720,485035848,492771525,533290431,537985479,527578748,517513983,584332033,576584082,593074172,581069360,691661076,661572291,627933713,603911181,619894133,613780900,561493353,502124611,541104587,544058821,545181183,527953540,655293937,668043113,611384211,607171344,598588806,606273029,612200226,615597558,687067147,618651568,598669557,569442683,649466570,630805656,610732027,607739463,610388283,566959990,Italian
,,,,,,,,Commons,147198722,166728211,172745424,167751531,155181903,171606409,203440658,215841091,228669608,206210403,216904520,211603143,194753631,187288078,198318542,269267629,253990187,221185599,242518817,234238776,203288687,203952165,201213335,174934060,172118495,173515273,184470049,192223224,192235579,189503109,198748676,228902671,185372852,170391437,175539199,214802296,225011966,236364195,245113122,257511245,242692726,251262938,274431220,262299702,300097005,320552891,331386795,321027639,305985064,341762805,380153797,351322661,325075383,302122842,375938982,414691489,469090138,465664436,488624347,441000234,411281042,394357522,369134260,368615100,419246810,400406559,433805581,451018369,472238849,469629266,396065416,306216364,407641778,368740285,401168507,372066854,346868906,359740091,297583032,328492019,322859999,335367863,369542253,291113615,Commons
,,,,,,,,Chinese,53599233,54652909,56351275,67069382,63031093,59757307,55920492,58949967,60625596,60425864,66910263,68284748,70063047,74882729,71061187,80834159,76538062,72849396,76239687,75997773,77145897,86612525,54595418,59935857,51554153,48453125,49142393,49040584,53566990,51518400,51250188,82756286,137661124,164030268,160323606,169365883,173475768,188677789,191395503,200442117,203763504,217692808,213513690,238321704,257431199,274662094,257448307,263045161,268564986,269551532,263940250,271152184,289768679,286556851,319265053,316539906,339149240,339006323,384269308,396320160,380094115,387230196,393976802,407192408,384254025,388829514,419556920,451984120,518321232,492214122,502068699,584878505,626948350,729246124,769863759,629506618,545982302,601992893,579200940,540731609,583651785,596195947,451169034,313938139,Chinese
,,,,,,,,Polish,234225988,211318513,287289924,310036912,337306352,322567403,378558789,347846184,377900102,308548956,332734072,278123553,236721174,240422472,300273886,308831445,316542276,280035263,330343587,333559188,290930249,375442104,354824282,313548352,275571949,261579605,331023989,337041064,368234903,344403351,399794372,380045742,369036179,366456611,402103348,378221427,300638810,316730460,364074513,428942214,445008647,452463403,485460797,440555430,423361352,396662490,384908270,393863255,356166765,340935965,398579260,439406897,457119543,472490086,533985124,554317882,551656875,536737889,516912053,531361501,504887669,459107619,434044582,453425747,462437934,424846169,474180678,443749260,507804470,467203778,411286853,434088675,354209274,345152142,402697606,369775791,391714223,387813024,417705744,394213900,391152705,383230905,372897744,327006493,Polish
